txn_id,sender_id,receiver_id,amount_inr,timestamp,device_fingerprint
52c2f6d4-aeb4-4d41-ab90-2beafff084e7,ACC_0173,ACC_0060,23837.63,2024-06-03T03:17:00,DEV_04600
8a7fb666-df86-48fa-ba89-25fd464ac7eb,ACC_0093,ACC_0142,14785.5,2024-06-02T11:22:00,DEV_04131
8aab729a-de15-470e-90a6-512c25e21185,ACC_0119,ACC_0106,3183.05,2024-06-02T20:23:00,DEV_02964
6ee692c5-9fc9-4c95-bd5a-38b8480056f9,ACC_0195,ACC_0149,22720.36,2024-06-02T23:32:00,DEV_02648
fb3203ff-1731-40a7-80da-5743285b6a09,ACC_0070,ACC_0086,16325.3,2024-06-02T21:52:00,DEV_00661
67bb318b-100e-4d36-bcba-f2f76d839bc9,ACC_0110,ACC_0081,33422.17,2024-06-02T10:33:00,DEV_01251
6e49794d-47da-4dee-b4d4-cfbc1ec6b9cb,ACC_0091,ACC_0200,28213.67,2024-06-02T12:44:00,DEV_01267
38639719-9654-43d7-82c0-4a6b14663718,ACC_0105,ACC_0116,34623.18,2024-06-02T17:04:00,DEV_02386
85232f79-2412-419e-a512-f39a063ed4cf,ACC_0100,ACC_0105,38835.23,2024-06-03T07:20:00,DEV_04898
ceb768cc-6a9c-4e32-a915-2697234da7ca,ACC_0141,ACC_0041,20641.51,2024-06-02T17:28:00,DEV_03912
b4567f77-b64c-41bc-9f6c-6cb9cd552e9d,ACC_0103,ACC_0085,14290.57,2024-06-01T13:44:00,DEV_02287
adf7fef2-8a3b-44e8-b586-f3bfb050b095,ACC_0100,ACC_0087,33608.58,2024-06-02T12:36:00,DEV_01353
58c55def-2312-4655-a507-623194350e4a,ACC_0040,ACC_0049,15186.74,2024-06-01T12:59:00,DEV_04745
d9c78daf-aefd-439f-86d8-ec7c9a9695ed,ACC_0101,ACC_0152,28436.84,2024-06-01T10:51:00,DEV_00688
f94755fd-ae6f-40a5-a661-f8c3309e55fe,ACC_0153,ACC_0017,19545.6,2024-06-03T01:40:00,DEV_03835
58748888-a1a6-46ee-8e6e-6fb7e5f8e648,SMURF_06,MULE_AGG,4274.9,2024-06-01T09:29:30,MULE_DEV_SMURF
62ba9e4c-5432-46c9-a72e-383f69e8c96e,ACC_0071,ACC_0198,39604.52,2024-06-02T13:19:00,DEV_02785
96e2f1fb-4790-4340-bc32-4ee3ac897149,ACC_0090,ACC_0165,25715.07,2024-06-03T07:23:00,DEV_04393
17038807-0212-4552-8c4c-a2712ec7c6e5,ACC_0117,ACC_0078,10361.04,2024-06-02T11:15:00,DEV_03959
a7dd9d8a-f49d-470b-9569-52bc59c4612a,ACC_0077,ACC_0193,19803.95,2024-06-02T13:36:00,DEV_04410
b92f4785-2f65-4aa1-8284-486877cf88d4,ACC_0174,ACC_0194,36185.23,2024-06-03T06:00:00,DEV_01121
7b2fd9e9-f30e-4e65-bbf0-4aac5b105fc7,ACC_0191,ACC_0138,47567.49,2024-06-03T08:06:00,DEV_01517
0b38ebe4-eee9-4e57-8f4c-5619b86c2873,ACC_0009,ACC_0033,3827.98,2024-06-03T05:02:00,DEV_03001
cf2350d7-51f1-4b28-925f-4b1c5b0c6cbd,ACC_0079,ACC_0170,29286.42,2024-06-02T17:18:00,DEV_04535
